,Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Fee Coin,Realized Profit,Quote Asset,real,win,ror
0,2021-06-26 14:20:02,BTCUSDT,SELL,30813.67,0.001,30.81367,0.01232546,USDT,0.09614,USDT,0.08381454,1,0.08381454
1,2021-06-26 14:20:01,ETHUSDT,SELL,1745.5,0.01,17.455,0.006982,USDT,0.1177,USDT,0.110718,1,0.19453254
2,2021-06-26 14:17:22,BTCUSDT,BUY,30717.53,0.001,30.71753,0.01228701,USDT,0.0,USDT,-0.01228701,0,0.18224553000000002
3,2021-06-26 14:16:07,ETHUSDT,BUY,1733.73,0.01,17.3373,0.00693492,USDT,0.0,USDT,-0.00693492,0,0.17531061
4,2021-06-26 14:15:01,BTCUSDT,BUY,30575.97,0.001,30.57597,0.01223038,USDT,-0.00129,USDT,-0.01352038,0,0.16179023
5,2021-06-26 14:15:00,ETHUSDT,BUY,1728.38,0.02,34.5676,0.01382704,USDT,-0.0208,USDT,-0.03462704,0,0.12716319
6,2021-06-26 14:14:21,ETHUSDT,SELL,1727.34,0.02,34.5468,0.01381872,USDT,0.0,USDT,-0.01381872,0,0.11334447
7,2021-06-26 14:14:13,BTCUSDT,SELL,30574.68,0.001,30.57468,0.01222987,USDT,0.0,USDT,-0.01222987,0,0.1011146
8,2021-06-26 14:14:09,BTCUSDT,SELL,30630.48,0.001,30.63048,0.01225219,USDT,-0.10677,USDT,-0.11902219,0,-0.01790759
9,2021-06-26 14:11:54,BTCUSDT,BUY,30737.25,0.001,30.73725,0.0122949,USDT,0.0,USDT,-0.0122949,0,-0.03020249
10,2021-06-26 14:05:02,BTCUSDT,BUY,30627.22,0.001,30.62722,0.01225088,USDT,0.09246,USDT,0.08020912,1,0.050006629999999996
11,2021-06-26 14:05:01,ETHUSDT,BUY,1730.51,0.005,8.65255,0.00346102,USDT,0.0269,USDT,0.02343898,1,0.07344561
12,2021-06-26 14:05:01,ETHUSDT,BUY,1730.51,0.006,10.38306,0.00415322,USDT,0.03228,USDT,0.028126780000000004,1,0.10157239
13,2021-06-26 14:05:01,ETHUSDT,BUY,1730.51,0.005,8.65255,0.00346102,USDT,0.0269,USDT,0.02343898,1,0.12501137
14,2021-06-26 14:05:01,ETHUSDT,BUY,1730.51,0.004,6.92204,0.00276881,USDT,0.02152,USDT,0.01875119,1,0.14376256
15,2021-06-26 14:01:01,BTCUSDT,SELL,30719.68,0.001,30.71968,0.01228787,USDT,0.0,USDT,-0.01228787,0,0.13147469
16,2021-06-26 14:00:53,BTCUSDT,SELL,30746.35,0.001,30.74635,0.01229854,USDT,-0.11366,USDT,-0.12595854,0,0.0055161499999999974
17,2021-06-26 14:00:52,ETHUSDT,SELL,1735.89,0.02,34.7178,0.01388712,USDT,0.0,USDT,-0.01388712,0,-0.008370970000000002
